GeoAreaName,Region,ISOalpha3,Source,FootNote,Year_of_appointment,chief_justice_name,sex_chief_justice
Gibraltar,Europe and Northern America,GIB,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Greece,Europe and Northern America,GRC,Supreme Court Website,Supreme Court,2025,Anastasia Papadopoulou,FEMALE
Greenland,Europe and Northern America,GRL,Supreme Court Website,Supreme Court,2006,"Jens Peter Christensen, President",MALE
Grenada,Latin America and the Caribbean,GRD,ECSC Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Guadeloupe,Latin America and the Caribbean,GLP,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
Guam,Oceania excluding Australia and New Zealand,GUM,Judiciary Website,Supreme Court,2004,Robert J. Torres Jr.,MALE
Guatemala,Latin America and the Caribbean,GTM,Judiciary Website,Corte Suprema de Justicia,,Carlos Rodimiro Lucero Paz,MALE
Guernsey,Europe and Northern America,GGY,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Guinea,Sub-Saharan Africa,GIN,Supreme Court Site,Supreme Court,,Fodé Bangoura,MALE
Guinea-Bissau,Sub-Saharan Africa,GNB,CJCA Website,Supreme Court,2025,Arafam Mané,MALE
Guyana,Latin America and the Caribbean,GUY,Caribbean Court of Justice Site,Caribbean Court of Justice,2025,Winston Anderson,MALE
Haiti,Latin America and the Caribbean,HTI,"AHJUCAF Website, Le Nouvelliste, Fuser News",Cour de Cassation,2022,Jean Joseph Lebrun,MALE
Heard Island and McDonald Islands,Oceania,HMD,High Court of Australia,High Court,2023,Stephen Gageler AC,MALE
Honduras,Latin America and the Caribbean,HND,Judiciary Website,Suprema Corte de Justicia,,Rebeca Lizette Ráquel Obando,FEMALE
Hungary,Europe and Northern America,HUN,Kuria Site,Kuria,2021,András Zs. Varga,MALE
Iceland,Europe and Northern America,ISL,Supreme Court Website,Supreme Court,2020,Benedikt Bogason,MALE
India,Central Asia and Southern Asia,IND,Supreme Court Site,Supreme Court,2019,Surya Kant,MALE
Indonesia,Eastern Asia and South-eastern Asia,IDN,Supreme Court Site,Supreme Court,,Sunarto,MALE
Iran (Islamic Republic of),Central Asia and Southern Asia,IRN,"Amnesty International, Mizan News, Aftenpolten",Supreme Court,2021,Gholam-Hossein Mohseni-Eje'i,MALE
Iraq,Western Asia and Northern Africa,IRQ,Federal Supreme Court Site,Federal Supreme Court,,Jasem Mohammad Abbood,MALE
Ireland,Europe and Northern America,IRL,Supreme Court Website,Supreme Court,2021,Donal O’Donnell,MALE
Isle of Man,Europe and Northern America,IMN,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Israel,Western Asia and Northern Africa,ISR,Judiciary Website,Supreme Court,,Isaac Amit,MALE
Italy,Europe and Northern America,ITA,Supreme Court of Cassation Webstire,Supreme Court of Cassation,2025,Pasquale D'Ascola,MALE
Jamaica,Latin America and the Caribbean,JAM,Government Site,Eastern Caribbean Supreme Court,,Margaret Alison Price Findlay,FEMALE
Japan,Eastern Asia and South-eastern Asia,JPN,Judiciary Website,Supreme Court,2024,Imasaki,MALE
Jordan,Western Asia and Northern Africa,JOR,"National Jordanian National Defence College, Jordanian Politics",Court of Cassation,,Mahmoud Mohamed Salama Alababneh,MALE
Kazakhstan,Central Asia and Southern Asia,KAZ,Supreme Court Site,Supreme Court,2022,,MALE
Kenya,Sub-Saharan Africa,KEN,Judicairy Website,Supreme Court of Kenya,2021,Martha Karambu Koome,FEMALE
Kiribati,Oceania excluding Australia and New Zealand,KIR,Judicial Committee of the Privy Council Site,Judicial Committee of the Privy Council Site,2020,Reed of Allermuir,MALE
Kuwait,Western Asia and Northern Africa,KWT,State of Kuwait Site,Court of Cassation,,Adel Majed Bouresli,MALE
Kyrgyzstan,Central Asia and Southern Asia,KGZ,Supreme Court Site,Supreme Court,2024,Satyev Mederbek Asanbekovich,MALE
Lao People's Democratic Republic,Eastern Asia and South-eastern Asia,LAO,Government News Agency,Supreme People's Court,2021,Viengthong Siphandone,FEMALE
Latvia,Europe and Northern America,LVA,Supreme Court Website,Supreme Court,2020,AIGARS STRUPIŠS,MALE
Lesotho,Sub-Saharan Africa,LSO,Government Website,High Court,2021,Sakoane Peter Sakoane,MALE
Liberia,Sub-Saharan Africa,LBR,Judiciary Website,,2025,Yamie Quiqui Gbeisay,MALE
Libya,Western Asia and Northern Africa,LBY,CJCA Site,Supreme Court,,Abdullah Muhammad Abu Rizeza,MALE
Liechtenstein,Europe and Northern America,LIE,Constitutional Court Site,Constitutional Court,2018,Hilmar Hoch,MALE
Lithuania,Europe and Northern America,LTU,Supreme Court Website,Supreme Court,2023,Danguolė Bublienė,FEMALE
Luxembourg,Europe and Northern America,LUX,Superior Court of Justice Site,Superior Court of Justice,,Thierry HOSCHEIT,MALE
Madagascar,Sub-Saharan Africa,MDG,"Government Site, Francophone Supreme Courts Site",Supreme Court of Madagascar,2022,Ranary Robertson Rakotonavalona,MALE
Malawi,Sub-Saharan Africa,MWI,Judiciary Website,Supreme Court of Appeal,2022,Rizine R. Mzikamanda,MALE
Malaysia,Eastern Asia and South-eastern Asia,MYS,"Gov. Site, Newspaper",Federal Court,2025,Wan Ahmad Farid Bin Wan Salleh,MALE
Maldives,Central Asia and Southern Asia,MDV,Supreme Court Site,Supreme Court,2025,Abdul Ghanee Mohamed,MALE
Mali,Sub-Saharan Africa,MLI,Supreme Court's Site,Supreme Court of Mali,,Fatoma THERA,MALE
Malta,Europe and Northern America,MLT,Judiciary Website,,,Mark Chetcuti,MALE
Marshall Islands,Oceania excluding Australia and New Zealand,MHL,Judiciary Website,Supreme Court,2013,Daniel N. Cadra,MALE
Martinique,Latin America and the Caribbean,MTQ,Court of Cassation Website,Court of Cassation of France,2022,Christophe Soulard,MALE
